figure_id,module,research_question,model_ids,source_tables,chart_type,x,y,interval,sample,figure_path,svg_path,title,subtitle,interpretation,limitation,root_readme,visual_qa_status
03_liquidation_event_placebo,03_derivatives_leverage_liquidations,"Where do leverage, funding, open-interest scaling, and liquidation stress appear in volatility and tail outcomes?",table:claims,research/03_derivatives_leverage_liquidations/tables/claims.csv,event_placebo_response,see source table,see source table,shown where source model reports uncertainty,see source table,research/03_derivatives_leverage_liquidations/figures/03_liquidation_event_placebo.png,research/03_derivatives_leverage_liquidations/figures/03_liquidation_event_placebo.svg,03 Liquidation Event Placebo,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
04_etf_flow_shock_placebo,04_etf_institutional_flows,"How do ETF flow intensity, timing, lag response, and shock/placebo diagnostics line up with crypto outcomes?",table:claims,research/04_etf_institutional_flows/tables/claims.csv,etf_lag_response,see source table,see source table,shown where source model reports uncertainty,see source table,research/04_etf_institutional_flows/figures/04_etf_flow_shock_placebo.png,research/04_etf_institutional_flows/figures/04_etf_flow_shock_placebo.svg,04 Etf Flow Shock Placebo,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
etf_lag_response,04_etf_institutional_flows,How do ETF flow-return associations vary over lags 0-5?,table:etf_lag_response; table:etf_pre_inception_plot_audit,research/04_etf_institutional_flows/tables/etf_lag_response.csv; research/04_etf_institutional_flows/tables/etf_pre_inception_plot_audit.csv,lag_response_with_bootstrap_interval,see source table,see source table,shown where source model reports uncertainty,see source table,research/04_etf_institutional_flows/figures/04_etf_lag_response.png,research/04_etf_institutional_flows/figures/04_etf_lag_response.svg,ETF flow intensity is reported as a lag-response market-plumbing diagnostic.,correlation and bootstrap interval,ETF flow intensity is reported as a lag-response market-plumbing diagnostic.,Timing and simultaneity limit interpretation.,True,pass_local_png_full_and_readme_width_svg_xml
04_etf_timing_audit,04_etf_institutional_flows,"How do ETF flow intensity, timing, lag response, and shock/placebo diagnostics line up with crypto outcomes?",table:claims,research/04_etf_institutional_flows/tables/claims.csv,etf_lag_response,see source table,see source table,shown where source model reports uncertainty,see source table,research/04_etf_institutional_flows/figures/04_etf_timing_audit.png,research/04_etf_institutional_flows/figures/04_etf_timing_audit.svg,04 Etf Timing Audit,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
05_liquidity_state_regimes,05_stablecoin_defi_liquidity,What do stablecoin supply and DeFi TVL proxies say about liquidity-state associations after unit and valuation audits?,table:claims,research/05_stablecoin_defi_liquidity/tables/claims.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/05_stablecoin_defi_liquidity/figures/05_liquidity_state_regimes.png,research/05_stablecoin_defi_liquidity/figures/05_liquidity_state_regimes.svg,05 Liquidity State Regimes,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
05_valuation_contamination_audit,05_stablecoin_defi_liquidity,What do stablecoin supply and DeFi TVL proxies say about liquidity-state associations after unit and valuation audits?,table:claims,research/05_stablecoin_defi_liquidity/tables/claims.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/05_stablecoin_defi_liquidity/figures/05_valuation_contamination_audit.png,research/05_stablecoin_defi_liquidity/figures/05_valuation_contamination_audit.svg,05 Valuation Contamination Audit,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
liquidity_state_correlations,05_stablecoin_defi_liquidity,Which liquidity-state correlations are most valuation-sensitive?,table:liquidity_associations; table:valuation_contamination_audit,research/05_stablecoin_defi_liquidity/tables/liquidity_associations.csv; research/05_stablecoin_defi_liquidity/tables/valuation_contamination_audit.csv,state_correlation_with_measurement_risk,see source table,see source table,shown where source model reports uncertainty,see source table,research/05_stablecoin_defi_liquidity/figures/liquidity_state_correlations.png,research/05_stablecoin_defi_liquidity/figures/liquidity_state_correlations.svg,Liquidity-state correlations are strongest where USD TVL has valuation content.,weekly correlations,Liquidity-state correlations are strongest where USD TVL has valuation content.,"Endogenous state proxy, not liquidity-shock evidence.",False,pass_local_png_full_and_readme_width_svg_xml
06_lagged_holder_state_outcomes,06_onchain_valuation_holder_behavior,Which on-chain valuation and holder-state measures are diagnostics versus admissible lagged state variables?,table:claims,research/06_onchain_valuation_holder_behavior/tables/claims.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/06_onchain_valuation_holder_behavior/figures/06_lagged_holder_state_outcomes.png,research/06_onchain_valuation_holder_behavior/figures/06_lagged_holder_state_outcomes.svg,06 Lagged Holder State Outcomes,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
06_mvrv_identity_residual,06_onchain_valuation_holder_behavior,Which on-chain valuation and holder-state measures are diagnostics versus admissible lagged state variables?,table:claims,research/06_onchain_valuation_holder_behavior/tables/claims.csv,measurement_decomposition,see source table,see source table,shown where source model reports uncertainty,see source table,research/06_onchain_valuation_holder_behavior/figures/06_mvrv_identity_residual.png,research/06_onchain_valuation_holder_behavior/figures/06_mvrv_identity_residual.svg,06 Mvrv Identity Residual,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
measurement_mvrv_mechanics,06_onchain_valuation_holder_behavior,How mechanical is same-day MVRV relative to BTC returns?,table:mvrv_mechanical_link_audit; table:mvrv_identity_points,research/06_onchain_valuation_holder_behavior/tables/mvrv_mechanical_link_audit.csv; research/06_onchain_valuation_holder_behavior/tables/mvrv_identity_points.csv,measurement_decomposition,see source table,see source table,shown where source model reports uncertainty,see source table,research/06_onchain_valuation_holder_behavior/figures/measurement_mvrv_mechanics.png,research/06_onchain_valuation_holder_behavior/figures/measurement_mvrv_mechanics.svg,MVRV same-day mechanics are a measurement warning.,log returns and next-week state means,MVRV same-day mechanics are a measurement warning.,Same-day MVRV is not an independent primary factor.,False,pass_local_png_full_and_readme_width_svg_xml
07_chain_metric_coverage,07_chain_fundamentals_sector_dynamics,"Which chain-level activity, sector, and point-in-time state measures have enough coverage and definition clarity for descriptive panel analysis?",table:claims,research/07_chain_fundamentals_sector_dynamics/tables/claims.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/07_chain_fundamentals_sector_dynamics/figures/07_chain_metric_coverage.png,research/07_chain_fundamentals_sector_dynamics/figures/07_chain_metric_coverage.svg,07 Chain Metric Coverage,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
07_pit_state_coefficients,07_chain_fundamentals_sector_dynamics,"Which chain-level activity, sector, and point-in-time state measures have enough coverage and definition clarity for descriptive panel analysis?",table:chain_fundamental_panel_summary; table:pit_state_relationship_coefficients,tables/chain_fundamental_panel_summary.csv; tables/pit_state_relationship_coefficients.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/07_chain_fundamentals_sector_dynamics/figures/07_pit_state_coefficients.png,research/07_chain_fundamentals_sector_dynamics/figures/07_pit_state_coefficients.svg,07 Pit State Coefficients,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
chain_panel_coverage,07_chain_fundamentals_sector_dynamics,Which chains have enough metric-family coverage for descriptive panel work?,table:chain_fundamental_panel_summary,research/07_chain_fundamentals_sector_dynamics/tables/chain_fundamental_panel_summary.csv,coverage_readiness_bar,see source table,see source table,shown where source model reports uncertainty,see source table,research/07_chain_fundamentals_sector_dynamics/figures/chain_panel_coverage.png,research/07_chain_fundamentals_sector_dynamics/figures/chain_panel_coverage.svg,Chain-fundamental evidence is coverage-first.,adequate metric families and median observations,Chain-fundamental evidence is coverage-first.,Coverage does not establish a relationship claim.,False,pass_local_png_full_and_readme_width_svg_xml
relative_asset_factor_structure,08_relative_asset_risk_factor_structure,How much selected-major risk is common crypto factor versus idiosyncratic?,table:relative_factor_decomposition; table:downside_expected_shortfall,research/08_relative_asset_risk_factor_structure/tables/relative_factor_decomposition.csv; research/08_relative_asset_risk_factor_structure/tables/downside_expected_shortfall.csv,common_idiosyncratic_risk_decomposition,see source table,see source table,shown where source model reports uncertainty,see source table,research/08_relative_asset_risk_factor_structure/figures/08_common_idiosyncratic_risk_decomposition.png,research/08_relative_asset_risk_factor_structure/figures/08_common_idiosyncratic_risk_decomposition.svg,Selected-major matched-window risk separates common and idiosyncratic components.,variance share,Selected-major matched-window risk separates common and idiosyncratic components.,Current-cohort and short-history caveats limit historical interpretation.,True,pass_local_png_full_and_readme_width_svg_xml
08_downside_expected_shortfall_forest,08_relative_asset_risk_factor_structure,"How do selected crypto assets compare on matched-window risk, downside beta, expected shortfall, and common-versus-idiosyncratic factor structure?",table:claims,research/08_relative_asset_risk_factor_structure/tables/claims.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/08_relative_asset_risk_factor_structure/figures/08_downside_expected_shortfall_forest.png,research/08_relative_asset_risk_factor_structure/figures/08_downside_expected_shortfall_forest.svg,08 Downside Expected Shortfall Forest,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
08_selected_major_beta_forest,08_relative_asset_risk_factor_structure,"How do selected crypto assets compare on matched-window risk, downside beta, expected shortfall, and common-versus-idiosyncratic factor structure?",table:claims,research/08_relative_asset_risk_factor_structure/tables/claims.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/08_relative_asset_risk_factor_structure/figures/08_selected_major_beta_forest.png,research/08_relative_asset_risk_factor_structure/figures/08_selected_major_beta_forest.svg,08 Selected Major Beta Forest,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
09_evidence_grade_risk_map,09_event_stress_cross_module_synthesis,"Which event-window, stress-state, and cross-module findings remain strongest after comparing sample, method, uncertainty, measurement risk, and limitations?",table:claims,research/09_event_stress_cross_module_synthesis/tables/claims.csv,risk_decomposition,see source table,see source table,shown where source model reports uncertainty,see source table,research/09_event_stress_cross_module_synthesis/figures/09_evidence_grade_risk_map.png,research/09_event_stress_cross_module_synthesis/figures/09_evidence_grade_risk_map.svg,09 Evidence Grade Risk Map,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
appendix_event_response_matrix,09_event_stress_cross_module_synthesis,How do registered event windows compare across BTC and ETH?,table:event_response_matrix; table:event_inference,research/09_event_stress_cross_module_synthesis/tables/event_response_matrix.csv; research/09_event_stress_cross_module_synthesis/tables/event_inference.csv,event_placebo_response,see source table,see source table,shown where source model reports uncertainty,see source table,research/09_event_stress_cross_module_synthesis/figures/appendix_event_response_matrix.png,research/09_event_stress_cross_module_synthesis/figures/appendix_event_response_matrix.svg,Event responses remain appendix sensitivity diagnostics.,+1 to +10 event-window returns,Event responses remain appendix sensitivity diagnostics.,No event-causal identification.,False,pass_local_png_full_and_readme_width_svg_xml
synthesis_claim_source_depth,09_event_stress_cross_module_synthesis,How much claim and source-table evidence does each module contribute?,table:evidence_ledger; table:robustness_summary; table:claim_inventory,research/09_event_stress_cross_module_synthesis/tables/evidence_ledger.csv; research/09_event_stress_cross_module_synthesis/tables/robustness_summary.csv; research/09_event_stress_cross_module_synthesis/tables/claim_inventory.csv,grouped_evidence_depth_bar,see source table,see source table,shown where source model reports uncertainty,see source table,research/09_event_stress_cross_module_synthesis/figures/synthesis_claim_source_depth.png,research/09_event_stress_cross_module_synthesis/figures/synthesis_claim_source_depth.svg,Synthesis keeps claim counts and source depth visible.,claim and source-table counts,Synthesis keeps claim counts and source depth visible.,Evidence depth is not a single quality score.,False,pass_local_png_full_and_readme_width_svg_xml
