date,alt_value,cmc_value,diff_cmc_minus_alt,abs_diff,alt_classification,cmc_classification,same_classification
2023-10-31,66,72,6,6,Greed,Greed,True
2023-11-01,66,72,6,6,Greed,Greed,True
2023-11-02,72,74,2,2,Greed,Greed,True
2023-11-03,65,72,7,7,Greed,Greed,True
2023-11-04,68,72,4,4,Greed,Greed,True
2023-11-05,70,72,2,2,Greed,Greed,True
2023-11-06,74,73,-1,1,Greed,Greed,True
2023-11-07,68,73,5,5,Greed,Greed,True
2023-11-08,66,73,7,7,Greed,Greed,True
2023-11-09,69,74,5,5,Greed,Greed,True
2023-11-10,70,77,7,7,Greed,Greed,True
2023-11-11,70,78,8,8,Greed,Greed,True
2023-11-12,73,77,4,4,Greed,Greed,True
2023-11-13,72,76,4,4,Greed,Greed,True
2023-11-14,69,75,6,6,Greed,Greed,True
2023-11-15,60,71,11,11,Greed,Greed,True
2023-11-16,70,77,7,7,Greed,Greed,True
2023-11-17,63,71,8,8,Greed,Greed,True
2023-11-18,69,72,3,3,Greed,Greed,True
2023-11-19,66,72,6,6,Greed,Greed,True
2023-11-20,69,74,5,5,Greed,Greed,True
2023-11-21,71,74,3,3,Greed,Greed,True
2023-11-22,62,67,5,5,Greed,Greed,True
2023-11-23,66,73,7,7,Greed,Greed,True
2023-11-24,66,72,6,6,Greed,Greed,True
2023-11-25,73,73,0,0,Greed,Greed,True
2023-11-26,73,73,0,0,Greed,Greed,True
2023-11-27,66,71,5,5,Greed,Greed,True
2023-11-28,68,69,1,1,Greed,Greed,True
2023-11-29,72,71,-1,1,Greed,Greed,True
2023-11-30,74,70,-4,4,Greed,Greed,True
2023-12-01,71,70,-1,1,Greed,Greed,True
2023-12-02,74,72,-2,2,Greed,Greed,True
2023-12-03,73,74,1,1,Greed,Greed,True
2023-12-04,74,75,1,1,Greed,Greed,True
2023-12-05,75,79,4,4,Greed,Greed,True
2023-12-06,72,82,10,10,Greed,Extreme greed,False
2023-12-07,72,81,9,9,Greed,Extreme greed,False
2023-12-08,72,81,9,9,Greed,Extreme greed,False
2023-12-09,73,82,9,9,Greed,Extreme greed,False
2023-12-10,74,80,6,6,Greed,Extreme greed,False
2023-12-11,74,80,6,6,Greed,Extreme greed,False
2023-12-12,67,74,7,7,Greed,Greed,True
2023-12-13,65,73,8,8,Greed,Greed,True
2023-12-14,72,76,4,4,Greed,Greed,True
2023-12-15,70,77,7,7,Greed,Greed,True
2023-12-16,67,73,6,6,Greed,Greed,True
2023-12-17,73,73,0,0,Greed,Greed,True
2023-12-18,65,70,5,5,Greed,Greed,True
2023-12-19,73,72,-1,1,Greed,Greed,True
2023-12-20,74,71,-3,3,Greed,Greed,True
2023-12-21,70,74,4,4,Greed,Greed,True
2023-12-22,74,75,1,1,Greed,Greed,True
2023-12-23,70,75,5,5,Greed,Greed,True
2023-12-24,71,74,3,3,Greed,Greed,True
2023-12-25,73,72,-1,1,Greed,Greed,True
2023-12-26,71,73,2,2,Greed,Greed,True
2023-12-27,73,70,-3,3,Greed,Greed,True
2023-12-28,73,73,0,0,Greed,Greed,True
2023-12-29,65,71,6,6,Greed,Greed,True
2023-12-30,68,68,0,0,Greed,Greed,True
2023-12-31,67,68,1,1,Greed,Greed,True
2024-01-01,65,68,3,3,Greed,Greed,True
2024-01-02,71,73,2,2,Greed,Greed,True
2024-01-03,70,74,4,4,Greed,Greed,True
2024-01-04,68,67,-1,1,Greed,Greed,True
2024-01-05,72,70,-2,2,Greed,Greed,True
2024-01-06,70,70,0,0,Greed,Greed,True
2024-01-07,71,68,-3,3,Greed,Greed,True
2024-01-08,71,67,-4,4,Greed,Greed,True
2024-01-09,76,74,-2,2,Extreme Greed,Greed,False
2024-01-10,73,72,-1,1,Greed,Greed,True
2024-01-11,76,74,-2,2,Extreme Greed,Greed,False
2024-01-12,71,73,2,2,Greed,Greed,True
2024-01-13,64,63,-1,1,Greed,Greed,True
2024-01-14,60,63,3,3,Greed,Greed,True
2024-01-15,52,59,7,7,Neutral,Neutral,True
2024-01-16,64,61,-3,3,Greed,Greed,True
2024-01-17,60,63,3,3,Greed,Greed,True
2024-01-18,63,61,-2,2,Greed,Greed,True
2024-01-19,51,56,5,5,Neutral,Neutral,True
2024-01-20,52,57,5,5,Neutral,Neutral,True
2024-01-21,56,57,1,1,Greed,Neutral,False
2024-01-22,55,56,1,1,Greed,Neutral,False
2024-01-23,50,49,-1,1,Neutral,Neutral,True
2024-01-24,48,50,2,2,Neutral,Neutral,True
2024-01-25,52,50,-2,2,Neutral,Neutral,True
2024-01-26,49,49,0,0,Neutral,Neutral,True
2024-01-27,55,55,0,0,Greed,Neutral,False
2024-01-28,54,55,1,1,Neutral,Neutral,True
2024-01-29,55,55,0,0,Greed,Neutral,False
2024-01-30,61,59,-2,2,Greed,Neutral,False
2024-01-31,60,57,-3,3,Greed,Neutral,False
2024-02-01,63,56,-7,7,Greed,Neutral,False
2024-02-02,63,57,-6,6,Greed,Neutral,False
2024-02-03,60,57,-3,3,Greed,Neutral,False
2024-02-04,60,56,-4,4,Greed,Neutral,False
2024-02-05,60,55,-5,5,Greed,Neutral,False
2024-02-06,64,55,-9,9,Greed,Neutral,False
2024-02-07,62,56,-6,6,Greed,Neutral,False
2024-02-08,66,59,-7,7,Greed,Neutral,False
2024-02-09,72,62,-10,10,Greed,Greed,True
2024-02-10,74,66,-8,8,Greed,Greed,True
2024-02-11,71,67,-4,4,Greed,Greed,True
2024-02-12,70,68,-2,2,Greed,Greed,True
2024-02-13,79,72,-7,7,Extreme Greed,Greed,False
2024-02-14,74,71,-3,3,Greed,Greed,True
2024-02-15,72,75,3,3,Greed,Greed,True
2024-02-16,72,76,4,4,Greed,Greed,True
2024-02-17,76,76,0,0,Extreme Greed,Greed,False
2024-02-18,72,74,2,2,Greed,Greed,True
2024-02-19,75,75,0,0,Greed,Greed,True
2024-02-20,72,74,2,2,Greed,Greed,True
2024-02-21,78,75,-3,3,Extreme Greed,Greed,False
2024-02-22,74,73,-1,1,Greed,Greed,True
2024-02-23,76,72,-4,4,Extreme Greed,Greed,False
2024-02-24,72,70,-2,2,Greed,Greed,True
2024-02-25,74,71,-3,3,Greed,Greed,True
2024-02-26,72,72,0,0,Greed,Greed,True
2024-02-27,79,76,-3,3,Extreme Greed,Greed,False
2024-02-28,82,80,-2,2,Extreme Greed,Extreme greed,True
2024-02-29,80,86,6,6,Extreme Greed,Extreme greed,True
2024-03-01,80,85,5,5,Extreme Greed,Extreme greed,True
2024-03-02,80,86,6,6,Extreme Greed,Extreme greed,True
2024-03-03,83,86,3,3,Extreme Greed,Extreme greed,True
2024-03-04,82,86,4,4,Extreme Greed,Extreme greed,True
2024-03-05,90,90,0,0,Extreme Greed,Extreme greed,True
2024-03-06,75,86,11,11,Greed,Extreme greed,False
2024-03-07,82,88,6,6,Extreme Greed,Extreme greed,True
2024-03-08,81,89,8,8,Extreme Greed,Extreme greed,True
2024-03-09,84,89,5,5,Extreme Greed,Extreme greed,True
2024-03-10,79,89,10,10,Extreme Greed,Extreme greed,True
2024-03-11,82,89,7,7,Extreme Greed,Extreme greed,True
2024-03-12,81,92,11,11,Extreme Greed,Extreme greed,True
2024-03-13,81,90,9,9,Extreme Greed,Extreme greed,True
2024-03-14,88,91,3,3,Extreme Greed,Extreme greed,True
2024-03-15,83,89,6,6,Extreme Greed,Extreme greed,True
2024-03-16,81,87,6,6,Extreme Greed,Extreme greed,True
2024-03-17,79,82,3,3,Extreme Greed,Extreme greed,True
2024-03-18,77,85,8,8,Extreme Greed,Extreme greed,True
2024-03-19,79,83,4,4,Extreme Greed,Extreme greed,True
2024-03-20,74,74,0,0,Greed,Greed,True
2024-03-21,78,82,4,4,Extreme Greed,Extreme greed,True
2024-03-22,75,79,4,4,Greed,Greed,True
2024-03-23,73,75,2,2,Greed,Greed,True
2024-03-24,74,75,1,1,Greed,Greed,True
2024-03-25,75,80,5,5,Greed,Extreme greed,False
2024-03-26,81,83,2,2,Extreme Greed,Extreme greed,True
2024-03-27,83,82,-1,1,Extreme Greed,Extreme greed,True
2024-03-28,80,81,1,1,Extreme Greed,Extreme greed,True
2024-03-29,79,82,3,3,Extreme Greed,Extreme greed,True
2024-03-30,75,80,5,5,Greed,Extreme greed,False
2024-03-31,75,80,5,5,Greed,Extreme greed,False
2024-04-01,79,82,3,3,Extreme Greed,Extreme greed,True
2024-04-02,79,79,0,0,Extreme Greed,Greed,False
2024-04-03,71,71,0,0,Greed,Greed,True
2024-04-04,70,72,2,2,Greed,Greed,True
2024-04-05,79,75,-4,4,Extreme Greed,Greed,False
2024-04-06,75,74,-1,1,Greed,Greed,True
2024-04-07,78,75,-3,3,Extreme Greed,Greed,False
2024-04-08,76,76,0,0,Extreme Greed,Greed,False
2024-04-09,80,79,-1,1,Extreme Greed,Greed,False
2024-04-10,78,75,-3,3,Extreme Greed,Greed,False
2024-04-11,76,76,0,0,Extreme Greed,Greed,False
2024-04-12,79,75,-4,4,Extreme Greed,Greed,False
2024-04-13,72,68,-4,4,Greed,Greed,True
2024-04-14,72,61,-11,11,Greed,Greed,True
2024-04-15,74,65,-9,9,Greed,Greed,True
2024-04-16,65,60,-5,5,Greed,Greed,True
2024-04-17,67,60,-7,7,Greed,Greed,True
2024-04-18,57,55,-2,2,Greed,Neutral,False
2024-04-19,66,59,-7,7,Greed,Neutral,False
2024-04-20,66,60,-6,6,Greed,Greed,True
2024-04-21,72,62,-10,10,Greed,Greed,True
2024-04-22,73,62,-11,11,Greed,Greed,True
2024-04-23,71,65,-6,6,Greed,Greed,True
2024-04-24,72,64,-8,8,Greed,Greed,True
2024-04-25,72,60,-12,12,Greed,Greed,True
2024-04-26,70,60,-10,10,Greed,Greed,True
2024-04-27,67,58,-9,9,Greed,Neutral,False
2024-04-28,65,58,-7,7,Greed,Neutral,False
2024-04-29,67,57,-10,10,Greed,Neutral,False
2024-04-30,67,58,-9,9,Greed,Neutral,False
2024-05-01,54,52,-2,2,Neutral,Neutral,True
2024-05-02,43,47,4,4,Fear,Neutral,False
2024-05-03,48,49,1,1,Neutral,Neutral,True
2024-05-04,67,56,-11,11,Greed,Neutral,False
2024-05-05,69,58,-11,11,Greed,Neutral,False
2024-05-06,71,58,-13,13,Greed,Neutral,False
2024-05-07,68,57,-11,11,Greed,Neutral,False
2024-05-08,64,55,-9,9,Greed,Neutral,False
2024-05-09,55,52,-3,3,Greed,Neutral,False
2024-05-10,66,56,-10,10,Greed,Neutral,False
2024-05-11,53,51,-2,2,Neutral,Neutral,True
2024-05-12,56,51,-5,5,Greed,Neutral,False
2024-05-13,57,52,-5,5,Greed,Neutral,False
2024-05-14,66,55,-11,11,Greed,Neutral,False
2024-05-15,64,52,-12,12,Greed,Neutral,False
2024-05-16,70,61,-9,9,Greed,Greed,True
2024-05-17,74,59,-15,15,Greed,Neutral,False
2024-05-18,73,62,-11,11,Greed,Greed,True
2024-05-19,72,62,-10,10,Greed,Greed,True
2024-05-20,70,60,-10,10,Greed,Greed,True
2024-05-21,76,70,-6,6,Extreme Greed,Greed,False
2024-05-22,76,68,-8,8,Extreme Greed,Greed,False
2024-05-23,76,66,-10,10,Extreme Greed,Greed,False
2024-05-24,74,64,-10,10,Greed,Greed,True
2024-05-25,76,64,-12,12,Extreme Greed,Greed,False
2024-05-26,75,65,-10,10,Greed,Greed,True
2024-05-27,74,64,-10,10,Greed,Greed,True
2024-05-28,72,65,-7,7,Greed,Greed,True
2024-05-29,72,63,-9,9,Greed,Greed,True
2024-05-30,73,61,-12,12,Greed,Greed,True
2024-05-31,73,62,-11,11,Greed,Greed,True
2024-06-01,72,60,-12,12,Greed,Greed,True
2024-06-02,73,60,-13,13,Greed,Greed,True
2024-06-03,73,60,-13,13,Greed,Greed,True
2024-06-04,73,62,-11,11,Greed,Greed,True
2024-06-05,75,65,-10,10,Greed,Greed,True
2024-06-06,78,66,-12,12,Extreme Greed,Greed,False
2024-06-07,77,65,-12,12,Extreme Greed,Greed,False
2024-06-08,72,61,-11,11,Greed,Greed,True
2024-06-09,75,61,-14,14,Greed,Greed,True
2024-06-10,72,61,-11,11,Greed,Greed,True
2024-06-11,74,60,-14,14,Greed,Greed,True
2024-06-12,72,56,-16,16,Greed,Neutral,False
2024-06-13,70,58,-12,12,Greed,Neutral,False
2024-06-14,74,55,-19,19,Greed,Neutral,False
2024-06-15,74,53,-21,21,Greed,Neutral,False
2024-06-16,71,54,-17,17,Greed,Neutral,False
2024-06-17,71,55,-16,16,Greed,Neutral,False
2024-06-18,74,55,-19,19,Greed,Neutral,False
2024-06-19,64,52,-12,12,Greed,Neutral,False
2024-06-20,60,52,-8,8,Greed,Neutral,False
2024-06-21,63,52,-11,11,Greed,Neutral,False
2024-06-22,53,51,-2,2,Neutral,Neutral,True
2024-06-23,55,51,-4,4,Greed,Neutral,False
2024-06-24,51,49,-2,2,Neutral,Neutral,True
2024-06-25,30,44,14,14,Fear,Neutral,False
2024-06-26,46,46,0,0,Fear,Neutral,False
2024-06-27,40,45,5,5,Fear,Neutral,False
2024-06-28,47,46,-1,1,Neutral,Neutral,True
2024-06-29,30,44,14,14,Fear,Neutral,False
2024-06-30,47,45,-2,2,Neutral,Neutral,True
2024-07-01,53,49,-4,4,Neutral,Neutral,True
2024-07-02,51,49,-2,2,Neutral,Neutral,True
2024-07-03,50,48,-2,2,Neutral,Neutral,True
2024-07-04,44,45,1,1,Fear,Neutral,False
2024-07-05,29,38,9,9,Fear,Fear,True
2024-07-06,26,37,11,11,Fear,Fear,True
2024-07-07,29,40,11,11,Fear,Neutral,False
2024-07-08,28,36,8,8,Fear,Fear,True
2024-07-09,27,37,10,10,Fear,Fear,True
2024-07-10,28,40,12,12,Fear,Neutral,False
2024-07-11,29,40,11,11,Fear,Neutral,False
2024-07-12,25,40,15,15,Extreme Fear,Neutral,False
2024-07-13,25,41,16,16,Extreme Fear,Neutral,False
2024-07-14,33,45,12,12,Fear,Neutral,False
2024-07-15,52,48,-4,4,Neutral,Neutral,True
2024-07-16,65,57,-8,8,Greed,Neutral,False
2024-07-17,69,58,-11,11,Greed,Neutral,False
2024-07-18,61,57,-4,4,Greed,Neutral,False
2024-07-19,60,57,-3,3,Greed,Neutral,False
2024-07-20,74,61,-13,13,Greed,Greed,True
2024-07-21,74,62,-12,12,Greed,Greed,True
2024-07-22,70,64,-6,6,Greed,Greed,True
2024-07-23,71,63,-8,8,Greed,Greed,True
2024-07-24,69,60,-9,9,Greed,Greed,True
2024-07-25,68,59,-9,9,Greed,Neutral,False
2024-07-26,68,59,-9,9,Greed,Neutral,False
2024-07-27,72,63,-9,9,Greed,Greed,True
2024-07-28,71,63,-8,8,Greed,Greed,True
2024-07-29,74,63,-11,11,Greed,Greed,True
2024-07-30,67,61,-6,6,Greed,Greed,True
2024-07-31,61,60,-1,1,Greed,Greed,True
2024-08-01,52,57,5,5,Neutral,Neutral,True
2024-08-02,57,58,1,1,Greed,Neutral,False
2024-08-03,37,49,12,12,Fear,Neutral,False
2024-08-04,34,48,14,14,Fear,Neutral,False
2024-08-05,26,31,5,5,Fear,Fear,True
2024-08-06,17,34,17,17,Extreme Fear,Fear,False
2024-08-07,29,44,15,15,Fear,Neutral,False
2024-08-08,20,43,23,23,Extreme Fear,Neutral,False
2024-08-09,48,56,8,8,Neutral,Neutral,True
2024-08-10,40,55,15,15,Fear,Neutral,False
2024-08-11,39,55,16,16,Fear,Neutral,False
2024-08-12,25,50,25,25,Extreme Fear,Neutral,False
2024-08-13,31,52,21,21,Fear,Neutral,False
2024-08-14,30,55,25,25,Fear,Neutral,False
2024-08-15,29,43,14,14,Fear,Neutral,False
2024-08-16,27,41,14,14,Fear,Neutral,False
2024-08-17,25,44,19,19,Extreme Fear,Neutral,False
2024-08-18,31,45,14,14,Fear,Neutral,False
2024-08-19,28,43,15,15,Fear,Neutral,False
2024-08-20,30,46,16,16,Fear,Neutral,False
2024-08-21,26,45,19,19,Fear,Neutral,False
2024-08-22,39,50,11,11,Fear,Neutral,False
2024-08-23,34,48,14,14,Fear,Neutral,False
2024-08-24,56,56,0,0,Greed,Neutral,False
2024-08-25,54,56,2,2,Neutral,Neutral,True
2024-08-26,55,56,1,1,Greed,Neutral,False
2024-08-27,48,54,6,6,Neutral,Neutral,True
2024-08-28,30,47,17,17,Fear,Neutral,False
2024-08-29,29,46,17,17,Fear,Neutral,False
2024-08-30,34,46,12,12,Fear,Neutral,False
2024-08-31,29,46,17,17,Fear,Neutral,False
2024-09-01,26,46,20,20,Fear,Neutral,False
2024-09-02,26,43,17,17,Fear,Neutral,False
2024-09-03,26,47,21,21,Fear,Neutral,False
2024-09-04,27,34,7,7,Fear,Fear,True
2024-09-05,29,34,5,5,Fear,Fear,True
2024-09-06,22,30,8,8,Extreme Fear,Fear,False
2024-09-07,23,26,3,3,Extreme Fear,Fear,False
2024-09-08,29,35,6,6,Fear,Fear,True
2024-09-09,26,41,15,15,Fear,Neutral,False
2024-09-10,33,47,14,14,Fear,Neutral,False
2024-09-11,37,37,0,0,Fear,Fear,True
2024-09-12,31,37,6,6,Fear,Fear,True
2024-09-13,32,33,1,1,Fear,Fear,True
2024-09-14,50,38,-12,12,Neutral,Fear,False
2024-09-15,51,38,-13,13,Neutral,Fear,False
2024-09-16,39,36,-3,3,Fear,Fear,True
2024-09-17,33,34,1,1,Fear,Fear,True
2024-09-18,45,38,-7,7,Fear,Fear,True
2024-09-19,49,44,-5,5,Neutral,Neutral,True
2024-09-20,54,48,-6,6,Neutral,Neutral,True
2024-09-21,54,50,-4,4,Neutral,Neutral,True
2024-09-22,52,51,-1,1,Neutral,Neutral,True
2024-09-23,50,51,1,1,Neutral,Neutral,True
2024-09-24,54,51,-3,3,Neutral,Neutral,True
2024-09-25,59,53,-6,6,Greed,Neutral,False
2024-09-26,50,48,-2,2,Neutral,Neutral,True
2024-09-27,61,54,-7,7,Greed,Neutral,False
2024-09-28,64,57,-7,7,Greed,Neutral,False
2024-09-29,63,57,-6,6,Greed,Neutral,False
2024-09-30,61,56,-5,5,Greed,Neutral,False
2024-10-01,50,48,-2,2,Neutral,Neutral,True
2024-10-02,42,39,-3,3,Fear,Fear,True
2024-10-03,37,36,-1,1,Fear,Fear,True
2024-10-04,41,36,-5,5,Fear,Fear,True
2024-10-05,49,41,-8,8,Neutral,Neutral,True
2024-10-06,50,41,-9,9,Neutral,Neutral,True
2024-10-07,50,43,-7,7,Neutral,Neutral,True
2024-10-08,49,41,-8,8,Neutral,Neutral,True
2024-10-09,49,42,-7,7,Neutral,Neutral,True
2024-10-10,39,37,-2,2,Fear,Fear,True
2024-10-11,32,37,5,5,Fear,Fear,True
2024-10-12,49,43,-6,6,Neutral,Neutral,True
2024-10-13,50,46,-4,4,Neutral,Neutral,True
2024-10-14,48,45,-3,3,Neutral,Neutral,True
2024-10-15,65,56,-9,9,Greed,Neutral,False
2024-10-16,73,58,-15,15,Greed,Neutral,False
2024-10-17,71,60,-11,11,Greed,Greed,True
2024-10-18,73,58,-15,15,Greed,Neutral,False
2024-10-19,72,61,-11,11,Greed,Greed,True
2024-10-20,73,60,-13,13,Greed,Greed,True
2024-10-21,72,63,-9,9,Greed,Greed,True
2024-10-22,70,57,-13,13,Greed,Neutral,False
2024-10-23,71,56,-15,15,Greed,Neutral,False
2024-10-24,69,52,-17,17,Greed,Neutral,False
2024-10-25,72,56,-16,16,Greed,Neutral,False
2024-10-27,74,52,-22,22,Greed,Neutral,False
2024-10-28,72,54,-18,18,Greed,Neutral,False
2024-10-29,72,60,-12,12,Greed,Greed,True
2024-10-30,77,67,-10,10,Extreme Greed,Greed,False
2024-10-31,77,66,-11,11,Extreme Greed,Greed,False
2024-11-01,75,59,-16,16,Greed,Neutral,False
2024-11-02,72,57,-15,15,Greed,Neutral,False
2024-11-03,74,55,-19,19,Greed,Neutral,False
2024-11-04,70,53,-17,17,Greed,Neutral,False
2024-11-05,70,50,-20,20,Greed,Neutral,False
2024-11-06,70,62,-8,8,Greed,Greed,True
2024-11-07,77,70,-7,7,Extreme Greed,Greed,False
2024-11-08,75,72,-3,3,Greed,Greed,True
2024-11-09,75,73,-2,2,Greed,Greed,True
2024-11-10,78,74,-4,4,Extreme Greed,Greed,False
2024-11-11,76,79,3,3,Extreme Greed,Greed,False
2024-11-12,80,86,6,6,Extreme Greed,Extreme greed,True
2024-11-13,84,86,2,2,Extreme Greed,Extreme greed,True
2024-11-14,88,83,-5,5,Extreme Greed,Extreme greed,True
2024-11-15,80,85,5,5,Extreme Greed,Extreme greed,True
2024-11-16,86,84,-2,2,Extreme Greed,Extreme greed,True
2024-11-17,90,82,-8,8,Extreme Greed,Extreme greed,True
2024-11-18,83,84,1,1,Extreme Greed,Extreme greed,True
2024-11-19,90,83,-7,7,Extreme Greed,Extreme greed,True
2024-11-20,83,83,0,0,Extreme Greed,Extreme greed,True
2024-11-21,82,88,6,6,Extreme Greed,Extreme greed,True
2024-11-22,94,88,-6,6,Extreme Greed,Extreme greed,True
2024-11-23,93,87,-6,6,Extreme Greed,Extreme greed,True
2024-11-24,80,87,7,7,Extreme Greed,Extreme greed,True
