feature_id,clean_label,research_block,raw_source,raw_path_or_endpoint,raw_field,frequency,transformation,lag_days,scaling_denominator,first_valid_date,last_valid_date,missing_policy,mechanical_link_risk,valuation_contamination_risk,contemporaneous_endogeneity_risk,permitted_model_families,prohibited_uses,interpretation
d_log_mvrv,BTC d-log MVRV,onchain_state,CryptoQuant,local-only provider input under data_local/raw,MVRV Ratio,daily,same-interval log difference,0,,,,drop from model sample; report effective n,high,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Measurement-mechanics diagnostic only.
d_log_realized_cap,BTC d-log realized cap,onchain_state,CryptoQuant,local-only provider input under data_local/raw,BTC realized cap,daily,same-interval log difference,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,MVRV identity component.
dxy_ret,DXY return,macro_risk,TradingView,local-only provider input under data_local/raw,DXY close,daily,business-date log return,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Contemporaneous dollar index exposure proxy.
eth_etf_flow_intensity_lag0,"ETH ETF flow intensity, t",etf_institutional,Farside,local-only provider input under data_local/raw,ETH ETF total,daily,flow / lagged market cap,0,prior-day ETH market cap,,,drop from model sample; report effective n,low,none_identified,medium,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Market-plumbing flow proxy.
eth_etf_flow_intensity_lag1,"ETH ETF flow intensity, t-1",etf_institutional,Farside,local-only provider input under data_local/raw,ETH ETF total,daily,flow / lagged market cap then lag one day,1,prior-day ETH market cap,,,drop from model sample; report effective n,low,none_identified,medium,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Lagged market-plumbing flow proxy.
eth_oi_to_mcap_growth_lag1,"ETH OI/market-cap growth, t-1",leverage,CryptoQuant,local-only provider input under data_local/raw,ETH open interest and market cap,daily,log difference of OI/market-cap ratio lagged one panel step,1,ETH market cap,,,drop from model sample; report effective n,low,medium_if_usd_notional,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Preferred lagged leverage-state proxy when OI is USD/notional-valued.
eth_ret,ETH log return,target,CryptoQuant,local-only provider input under data_local/raw,ETH price close,daily,log return,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Return outcome.
gold_ret,Gold return,macro_risk,TradingView/FRED,local-only provider input under data_local/raw,GLD or XAUUSD close,daily,business-date log return,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Contemporaneous gold exposure proxy.
identity_residual,MVRV identity residual,onchain_state,CryptoQuant,local-only provider input under data_local/raw,MVRV and realized cap,daily,d_log_mvrv - (d_log_market_cap - d_log_realized_cap),0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Source-convention residual diagnostic.
iwm_ret,IWM return,macro_risk,TradingView,local-only provider input under data_local/raw,IWM close,daily,business-date log return,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Contemporaneous small-cap equity exposure proxy where supported.
nominal_10y_d1,Nominal 10Y yield change,macro_risk,FRED,local-only provider input under data_local/raw,DGS10,daily,business-date first difference,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Contemporaneous nominal-rate exposure proxy.
pit_hhi,PIT top-100 HHI,market_structure,DefiLlama,local-only provider input under data_local/raw,monthly top-200 universe,monthly,market-cap concentration,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Composition outcome.
qqq_ret,QQQ return,macro_risk,TradingView,local-only provider input under data_local/raw,QQQ close,daily,business-date log return,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Contemporaneous equity-growth exposure proxy.
real_yield_d1,Real-yield change,macro_risk,FRED,local-only provider input under data_local/raw,DFII10,daily,business-date first difference,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Contemporaneous real-rate exposure proxy.
spy_ret,SPY return,macro_risk,TradingView,local-only provider input under data_local/raw,SPY close,daily,business-date log return,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Contemporaneous US equity-market exposure proxy.
stablecoin_supply_growth,Stablecoin supply growth,liquidity,DefiLlama,local-only provider input under data_local/raw,stablecoin market caps,weekly,log difference,1,,,,drop from model sample; report effective n,low,medium_if_usd_notional,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Liquidity-state proxy.
stablecoin_supply_growth_lag1,Lagged stablecoin supply growth,liquidity,DefiLlama,local-only provider input under data_local/raw,stablecoin market caps,weekly,weekly log difference lagged one week,1,,,,drop from model sample; report effective n,low,medium_if_usd_notional,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Lagged liquidity-state proxy.
valuation_sensitive_defi_tvl_growth,Valuation-sensitive DeFi TVL growth,liquidity,DefiLlama,local-only provider input under data_local/raw,USD TVL,weekly,log difference of USD TVL,0,,,,drop from model sample; report effective n,medium,high_usd_price_content,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,"Valuation-sensitive DeFi balance-sheet proxy, not pure capital inflow."
valuation_sensitive_defi_tvl_growth_lag1,Lagged valuation-sensitive DeFi TVL growth,liquidity,DefiLlama,local-only provider input under data_local/raw,USD TVL,weekly,weekly log difference lagged one week,1,,,,drop from model sample; report effective n,medium,high_usd_price_content,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,"Lagged valuation-sensitive DeFi balance-sheet proxy, not pure capital inflow."
vix_d1,VIX change,macro_risk,FRED,local-only provider input under data_local/raw,VIXCLS,daily,business-date first difference,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Contemporaneous equity-volatility exposure proxy.
